,,,,,,,,,,,,,,,
,"The following list contains top 9933 most frequent Chinese characters based on Jun Da's Modern Chinese Character Frequency List, in the order of decreasing frequency. The number                                          of encounters in the corpus is recalculated into a percentage. The additional and missing information was gathered on HanziDB, Wikidictionary, as well as filled in by hand.",,,,,,,,,,,,,,
,№,Freq.,General standard #,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning,
,1,1,1155,白 106.3,7922684,"4,094325%",1,1,8,的,de,de,neutral,"possessive, adjectival suffix","4,094325%"
,2,2,0001,一 1.0,3050722,"1,576568%",1,1,1,一,yī,yi,first,"one; a, an; alone","5,670893%"
,3,3,1479,日 72.5,2615490,"1,351646%",1,1,9,是,shì,shi,fourth,"indeed, yes, right; to be; demonstrative pronoun, this, that","7,022539%"
,4,4,0091,一 1.3,2237915,"1,156521%",1,1,4,不,bù,bu,fourth,"no, not; un-; negative prefix","8,179061%"
,5,5,0017,亅 6.1,2128528,"1,099992%",1,1,2,了,le,le,neutral,to finish; particle of completed action,"9,279052%"
,6,6,0388,土 32.3,2009181,"1,038315%",1,1,6,在,zài,zai,fourth,"be at, in, on; consist in, rest","10,317367%"
,7,7,0010,人 9.0,1867999,"0,965354%",1,1,2,人,rén,ren,second,man; people; mankind; someone else,"11,282721%"
,8,8,0390,月 74.2,1782004,"0,920913%",1,1,6,有,yǒu,you,third,"have, own, possess; exist","12,203634%"
,9,9,0761,戈 62.3,1690048,"0,873392%",1,1,7,我,wǒ,wo,third,"our, us, i, me, my, we","13,077026%"
,10,10,0277,人 9.3,1595761,"0,824666%",1,1,5,他,tā,ta,first,"other, another; he, she, it","13,901692%"
,11,11,0837,辵 162.4,1552042,"0,802072%",1,1,7,这,zhè,zhe,fourth,"this, the, here","14,703764%"
,12,12,0045,丨 2.2,1199580,"0,619925%",1,1,3,个,gè,ge,fourth,"numerary adjunct, piece; single","15,323689%"
,13,13,0273,人 9.3,1169853,"0,604563%",1,1,5,们,men,men,neutral,adjunct pronoun indicate plural,"15,928252%"
,14,14,0113,丨 2.3,1104541,"0,570810%",1,1,4,中,zhōng,zhong,first,"central; center, middle; in the midst of; hit (target); attain","16,499062%"
,15,15,0707,木 75.3,1079469,"0,557854%",1,1,7,来,lái,lai,second,"come, coming; return, returning","17,056916%"
,16,16,0036,一 1.2,1069575,"0,552740%",1,1,3,上,shàng,shang,fourth,"top; superior, highest; go up, send up","17,609656%"
,17,17,0032,大 37.0,1054064,"0,544725%",1,1,3,大,dà,da,fourth,"big, great, vast, large, high","18,154381%"
,18,18,0165,丶 3.3,1039036,"0,536958%",2,2,4,为,wèi,wei,fourth,"do, handle, govern, act; be","18,691339%"
,19,19,1131,口 30.5,1010465,"0,522193%",1,1,8,和,hé,he,second,"harmony, peace; peaceful, calm","19,213532%"
,20,20,1081,囗 31.5,985350,"0,509214%",1,1,8,国,guó,guo,second,"nation, country, nation-state","19,722747%"
,21,21,0366,土 32.3,969349,"0,500945%",3,1,6,地,de,de,neutral,"earth; soil, ground; region","20,223692%"
,22,22,1063,刀 18.6,965035,"0,498716%",2,1,8,到,dào,dao,fourth,"go to, arrive, been to","20,722407%"
,23,23,0182,人 9.3,910627,"0,470598%",2,2,4,以,yǐ,yi,third,"by means of; thereby, therefore; consider as; in order to","21,193006%"
,24,24,1717,言 149.7,874977,"0,452175%",1,1,9,说,shuō,shuo,first,"speak, say, talk; scold, upbraid","21,645181%"
,25,25,0717,日 72.3,833532,"0,430757%",1,1,7,时,shí,shi,second,"time, season; era, age, period","22,075938%"
,26,26,1441,襾 146.3,811011,"0,419118%",2,1,9,要,yào,yao,fourth,"necessary, essential; necessity","22,495056%"
,27,27,2728,尢 43.9,771108,"0,398497%",2,1,12,就,jiù,jiu,fourth,"just, simply; to come, go to; to approach, near","22,893554%"
,28,28,0330,凵 17.3,755256,"0,390305%",1,1,5,出,chū,chu,first,"go out, send out; stand; produce","23,283859%"
,29,29,0486,人 9.4,734888,"0,379779%",1,1,6,会,huì,hui,fourth,"assemble, meet together; meeting","23,663638%"
,30,30,0212,口 30.2,723108,"0,373691%",2,2,5,可,kě,ke,third,"may, can, -able; possibly","24,037329%"
,31,31,0066,乙 5.2,710259,"0,367051%",2,1,3,也,yě,ye,third,also; classical final particle of strong affirmation or identity,"24,404381%"
,32,32,0782,人 9.5,705205,"0,364439%",1,1,7,你,nǐ,ni,third,"you, second person pronoun","24,768820%"
,33,33,0341,寸 41.2,703632,"0,363627%",1,1,5,对,duì,dui,fourth,"correct, right; facing, opposed","25,132447%"
,34,34,0263,生 100.0,682031,"0,352463%",1,1,5,生,shēng,sheng,first,"life, living, lifetime; birth","25,484910%"
,35,35,2146,肉 130.6,665358,"0,343847%",1,1,10,能,néng,neng,second,"to be able; can, permitted to; ability","25,828757%"
,36,36,0392,而 126.0,649239,"0,335517%",3,2,6,而,ér,er,second,and; and then; and yet; but,"26,164274%"
,37,37,0064,子 39.0,640640,"0,331073%",1,1,3,子,zi,zi,neutral,"offspring, child; fruit, seed of; 1st terrestrial branch","26,495348%"
,38,38,0564,邑 163.4,638538,"0,329987%",1,1,6,那,nà,na,fourth,"that, that one, those","26,825334%"
,39,39,2341,彳 60.8,630688,"0,325930%",2,1,11,得,dé,de,second,"obtain, get, gain, acquire","27,151265%"
,40,40,0024,二 7.1,630524,"0,325845%",3,2,3,于,yú,yu,second,"in, on, at; go to; surname","27,477110%"
,41,41,2398,目 109.6,626326,"0,323676%",2,1,11,着,zhe,zhe,neutral,"make move, take action","27,800786%"
,42,42,0030,一 1.2,621185,"0,321019%",1,1,3,下,xià,xia,fourth,"under, underneath, below; down; inferior; bring down","28,121805%"
,43,43,0477,自 132.0,611687,"0,316111%",3,2,6,自,zì,zi,fourth,"self, private, personal; from","28,437916%"
,44,44,0058,丿 4.3,609003,"0,314724%",4,4,3,之,zhī,zhi,first,"marks preceding phrase as modifier of following phrase; it, him her, them; go to","28,752640%"
